ImageFile,fakeiq_trials.thisRepN,fakeiq_trials.thisTrialN,fakeiq_trials.thisN,fakeiq_trials.thisIndex,intro_text.started,intro_text.stopped,space_instr_intro.started,space_instr_intro.stopped,intro_key_resp.keys,intro_key_resp.rt,intro_key_resp.started,intro_key_resp.stopped,itemIndex,questions,ratings,rt,space_instr_4.started,space_instr_4.stopped,relationship_key_resp.keys,relationship_key_resp.rt,relationship_key_resp.started,relationship_key_resp.stopped,relationship_instr.started,relationship_instr.stopped,instr_fakeiq.started,instr_fakeiq.stopped,instr_fakeiq_key_resp.keys,instr_fakeiq_key_resp.rt,instr_fakeiq_key_resp.started,instr_fakeiq_key_resp.stopped,image_raven.started,image_raven.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instr_premfq.started,instr_premfq.stopped,instr_premfq_key_resp.keys,instr_premfq_key_resp.rt,instr_premfq_key_resp.started,instr_premfq_key_resp.stopped,mfq1_key_resp.keys,mfq1_key_resp.rt,mfq1_key_resp.started,mfq1_key_resp.stopped,space_instr.started,space_instr.stopped,mfq1_instr.started,mfq1_instr.stopped,scale_instr_mfq1.started,scale_instr_mfq1.stopped,mfq2_key_resp.keys,mfq2_key_resp.rt,mfq2_key_resp.started,mfq2_key_resp.stopped,space_instr_2.started,space_instr_2.stopped,scale_instr_mfq1_2.started,scale_instr_mfq1_2.stopped,mfq1_instr_2.started,mfq1_instr_2.stopped,condition,manipulation_text.started,manipulation_text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,demo_key_resp.keys,demo_key_resp.rt,demo_key_resp.started,demo_key_resp.stopped,space_instr_3.started,space_instr_3.stopped,debriefing_text.started,debriefing_text.stopped,debriefing_key_resp.keys,debriefing_key_resp.rt,debriefing_key_resp.started,debriefing_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,13.450888499850407,None,13.450888499850407,None,space,1.8476001999806613,13.450888499850407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,1,Czy ma Pani/Pan ukończone 18 lat?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,2,Czy jest Pani/Pan aktualnie w związku?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,3,Czy jest Pani/Pan w związku małżeńskim?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,4,Kto jest dla Pani/Pana najbliższą osobą?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,5,Czy ma Pani/Pan tematy tabu ze swoją najbliższą osobą?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,6,"W skali od 1 do 7 (1 - zupełnie niesatysfakcjonująca; 7 - zupełnie satysfakcjonująca), prosimy powiedzieć, jak bardzo satysfakcjonująca jest Pani/Pana relacja z najbliższą osobą",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,7,Jak często uprawia Pani/Pan seks?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,8,"W skali od 1 do 7 (1 - zupełnie nieswobodnie; 7 - bardzo swobodnie) prosimy o udzielenie odpowiedzi, jak bardzo swobodnie czuje się Pani/Pan przy najbliższej dla siebie osobie",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,,,,,15.36317059979774,None,space,0.7800952999386936,15.36317059979774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
